"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","ScanDirectionFlag","EdgeofFlightLine","Classification","ScanAngleRank","UserData","PointSourceID","gpstime","Range"
5673412.6660,3704837.5680,1527.4000,143,1,2,0,0,5,7,0,111,50772191.97357510,4477.5357
5673414.3180,3704837.3890,1461.8810,17,2,2,0,0,2,7,0,111,50772191.97357510,4543.0757
5673410.3530,3704839.7830,1525.7260,97,1,3,0,0,5,7,0,111,50772191.97358630,4479.1452
5673410.9810,3704839.7160,1499.5780,14,2,3,0,0,5,7,0,111,50772191.97358630,4505.3008
5673411.9380,3704839.6330,1460.6350,33,3,3,0,0,2,7,0,111,50772191.97358630,4544.2556
5673408.1400,3704841.9700,1519.6240,6,1,3,0,0,5,7,0,111,50772191.97359760,4485.1862
5673408.6350,3704841.9290,1499.0200,56,2,3,0,0,5,7,0,111,50772191.97359760,4505.7962
5673409.5590,3704841.8450,1459.6500,136,3,3,0,0,2,7,0,111,50772191.97359760,4545.1771
5673406.0910,3704844.1650,1504.5650,60,1,2,0,0,5,7,0,111,50772191.97360890,4500.1879
5673407.1440,3704844.1200,1459.3880,53,2,2,0,0,2,7,0,111,50772191.97360890,4545.3771
5673403.5470,3704846.4010,1511.9470,73,1,2,0,0,5,7,0,111,50772191.97362010,4492.7455
5673404.7980,3704846.3330,1457.7480,26,2,2,0,0,2,7,0,111,50772191.97362010,4546.9589
5673401.1350,3704848.6110,1511.9800,79,1,3,0,0,5,7,0,111,50772191.97363130,4492.6555
5673401.4320,3704848.5930,1498.9220,8,2,3,0,0,5,7,0,111,50772191.97363130,4505.7169
5673402.1530,3704848.6290,1467.8520,13,3,3,0,0,4,7,0,111,50772191.97363130,4536.7952
5673399.7070,3704850.8700,1468.7060,0,1,1,0,0,5,7,0,111,50772191.97364260,4535.8861
5673396.6710,3704853.0810,1498.0360,37,1,2,0,0,5,7,0,111,50772191.97365380,4506.4973
5673397.6210,3704853.1290,1454.6310,187,2,2,0,0,2,7,0,111,50772191.97365380,4549.9127
5673394.3240,3704855.3270,1496.6580,34,1,2,0,0,5,6,0,111,50772191.97366500,4507.8266
5673395.2390,3704855.4060,1453.3510,243,2,2,0,0,2,6,0,111,50772191.97366500,4551.1433
5673391.9440,3704857.5710,1495.7720,31,1,2,0,0,5,6,0,111,50772191.97367620,4508.6657
5673392.8280,3704857.6160,1454.1390,113,2,2,0,0,3,6,0,111,50772191.97367620,4550.3081
5673389.5300,3704859.8140,1497.6750,60,1,2,0,0,5,6,0,111,50772191.97368750,4506.7180
5673390.4460,3704859.8930,1452.4000,53,2,2,0,0,2,6,0,111,50772191.97368750,4552.0024
5673386.7950,3704861.9410,1515.5230,48,1,3,0,0,5,6,0,111,50772191.97369870,4488.8243
5673387.5430,3704862.0780,1476.5140,11,2,3,0,0,5,6,0,111,50772191.97369870,4527.8407
5673388.0660,3704862.1370,1450.0700,90,3,3,0,0,2,6,0,111,50772191.97369870,4554.2899
5673384.4160,3704864.1530,1515.1950,52,1,3,0,0,5,6,0,111,50772191.97370990,4489.1125
5673385.1320,3704864.2880,1477.1370,3,2,3,0,0,5,6,0,111,50772191.97370990,4527.1775
5673385.6860,3704864.3810,1449.3810,100,3,3,0,0,2,6,0,111,50772191.97370990,4554.9392
5673382.0050,3704866.3620,1517.5240,12,1,3,0,0,5,6,0,111,50772191.97372130,4486.7460
5673382.6530,3704866.5270,1482.1570,63,2,3,0,0,5,6,0,111,50772191.97372130,4522.1193
5673383.3050,3704866.6260,1447.7080,11,3,3,0,0,2,6,0,111,50772191.97372130,4556.5746
5673379.8540,3704868.6180,1505.0900,74,1,2,0,0,5,6,0,111,50772191.97373250,4499.1471
5673380.8910,3704868.9010,1446.4940,44,2,2,0,0,2,6,0,111,50772191.97373250,4557.7530
5673373.2170,3704869.9570,1509.6830,95,1,2,1,0,5,6,0,111,50772191.99111140,4494.4998
5673375.9870,3704867.7980,1488.0620,6,1,2,1,0,5,6,0,111,50772191.99112270,4516.1553
5673376.7970,3704868.0030,1443.4760,217,2,2,1,0,2,6,0,111,50772191.99112270,4560.7491
5673377.9440,3704865.4670,1513.0300,35,1,3,1,0,5,6,0,111,50772191.99113390,4491.2167
5673378.5950,3704865.5980,1477.0390,40,2,3,1,0,5,6,0,111,50772191.99113390,4527.2138
5673379.1790,3704865.7260,1444.9520,49,3,3,1,0,2,6,0,111,50772191.99113390,4559.3064
5673380.2280,3704863.1850,1519.0990,58,1,2,1,0,5,6,0,111,50772191.99114510,4485.1824
5673381.5940,3704863.4510,1446.3960,140,2,2,1,0,2,6,0,111,50772191.99114510,4557.8987
5673382.6410,3704860.9420,1518.6730,15,1,3,1,0,5,6,0,111,50772191.99115630,4485.6469
5673383.4880,3704861.0840,1474.7090,29,2,3,1,0,5,6,0,111,50772191.99115630,4529.6193
5673384.0100,3704861.1430,1447.9710,154,3,3,1,0,2,6,0,111,50772191.99115630,4556.3625
5673385.0520,3704858.7320,1516.4740,85,1,3,1,0,5,6,0,111,50772191.99116770,4487.8865
5673385.4440,3704858.7850,1497.7410,9,2,3,1,0,5,6,0,111,50772191.99116770,4506.6237
5673386.3910,3704858.8990,1449.3490,29,3,3,1,0,2,6,0,111,50772191.99116770,4555.0251
5673387.9880,3704856.5490,1490.1950,33,1,2,1,0,5,6,0,111,50772191.99117890,4514.2142
5673388.8050,3704856.6240,1450.1030,186,2,2,1,0,2,6,0,111,50772191.99117890,4554.3146
5673391.1870,3704854.3470,1451.3830,241,1,1,1,0,2,6,0,111,50772191.99119010,4553.0799
5673392.2920,3704852.0050,1513.8830,96,1,2,1,0,5,6,0,111,50772191.99120140,4490.6144
5673393.6020,3704852.0710,1452.5640,79,2,2,1,0,2,6,0,111,50772191.99120140,4551.9474
5673394.8370,3704849.7360,1506.5340,28,1,3,1,0,5,6,0,111,50772191.99121260,4498.0151
5673395.6890,3704849.7790,1468.1480,13,2,3,1,0,5,6,0,111,50772191.99121260,4536.4105
5673396.0150,3704849.8290,1453.0230,151,3,3,1,0,2,6,0,111,50772191.99121260,4551.5391
5673397.0210,3704847.4820,1516.6060,81,1,3,1,0,5,7,0,111,50772191.99122380,4487.9935
5673397.2830,3704847.4950,1504.0070,38,2,3,1,0,5,7,0,111,50772191.99122380,4500.5952
5673398.3990,3704847.5190,1454.5320,52,3,3,1,0,2,7,0,111,50772191.99122380,4550.0828
5673399.6290,3704845.2820,1506.7630,46,1,2,1,0,5,7,0,111,50772191.99123500,4497.8938
5673400.7790,3704845.2750,1456.2710,138,2,2,1,0,3,7,0,111,50772191.99123500,4548.3989
5673401.7140,3704843.0230,1519.3290,115,1,2,1,0,5,7,0,111,50772191.99124630,4485.3814
5673403.1940,3704843.0000,1457.0910,20,2,2,1,0,2,7,0,111,50772191.99124630,4547.6370
5673404.1590,3704840.8150,1516.9670,73,1,2,1,0,5,7,0,111,50772191.99125750,4487.8036
5673405.5740,3704840.7550,1457.9770,26,2,2,1,0,2,7,0,111,50772191.99125750,4546.8106
5673406.5390,3704838.5710,1518.3770,2,1,3,1,0,5,7,0,111,50772191.99126880,4486.4559
5673406.9990,3704838.5610,1499.2500,41,2,3,1,0,5,7,0,111,50772191.99126880,4505.5884
5673407.9890,3704838.4800,1458.6010,108,3,3,1,0,2,7,0,111,50772191.99126880,4546.2495
